Publication,Scenario,Region,Category,Product,Flow,Unit,Year,Value
World Energy Outlook 2021,Stated Policies Scenario,World,Energy,Total,Total energy supply,EJ,2010,544.7
World Energy Outlook 2021,Stated Policies Scenario,World,Energy,Total,Total energy supply,EJ,2019,613
World Energy Outlook 2021,Stated Policies Scenario,World,Energy,Total,Total energy supply,EJ,2020,589.1
World Energy Outlook 2021,Stated Policies Scenario,World,Energy,Total,Total energy supply,EJ,2030,671
World Energy Outlook 2021,Stated Policies Scenario,World,Energy,Total,Total energy supply,EJ,2040,714.8
World Energy Outlook 2021,Stated Policies Scenario,World,Energy,Total,Total energy supply,EJ,2050,743.9
World Energy Outlook 2021,Announced Pledges Scenario,World,Energy,Total,Total energy supply,EJ,2030,651.1
World Energy Outlook 2021,Announced Pledges Scenario,World,Energy,Total,Total energy supply,EJ,2040,670.4
World Energy Outlook 2021,Announced Pledges Scenario,World,Energy,Total,Total energy supply,EJ,2050,674.4
World Energy Outlook 2021,Sustainable Development Scenario,World,Energy,Total,Total energy supply,EJ,2030,599.2
World Energy Outlook 2021,Sustainable Development Scenario,World,Energy,Total,Total energy supply,EJ,2040,580.5
World Energy Outlook 2021,Sustainable Development Scenario,World,Energy,Total,Total energy supply,EJ,2050,577.9
World Energy Outlook 2021,Net Zero Emissions by 2050 Scenario,World,Energy,Total,Total energy supply,EJ,2030,547.1
World Energy Outlook 2021,Net Zero Emissions by 2050 Scenario,World,Energy,Total,Total energy supply,EJ,2040,534.5
World Energy Outlook 2021,Net Zero Emissions by 2050 Scenario,World,Energy,Total,Total energy supply,EJ,2050,543
World Energy Outlook 2021,Stated Policies Scenario,World,Energy,Renewables,Total energy supply,EJ,2010,47.7
World Energy Outlook 2021,Stated Policies Scenario,World,Energy,Renewables,Total energy supply,EJ,2019,65.8
World Energy Outlook 2021,Stated Policies Scenario,World,Energy,Renewables,Total energy supply,EJ,2020,68.5
World Energy Outlook 2021,Stated Policies Scenario,World,Energy,Renewables,Total energy supply,EJ,2030,109
World Energy Outlook 2021,Stated Policies Scenario,World,Energy,Renewables,Total energy supply,EJ,2040,153
World Energy Outlook 2021,Stated Policies Scenario,World,Energy,Renewables,Total energy supply,EJ,2050,192.5
World Energy Outlook 2021,Announced Pledges Scenario,World,Energy,Renewables,Total energy supply,EJ,2030,120.6
World Energy Outlook 2021,Announced Pledges Scenario,World,Energy,Renewables,Total energy supply,EJ,2040,194.4
World Energy Outlook 2021,Announced Pledges Scenario,World,Energy,Renewables,Total energy supply,EJ,2050,248.4
World Energy Outlook 2021,Sustainable Development Scenario,World,Energy,Renewables,Total energy supply,EJ,2030,142.7
